Paper_id;Audiogram_id;Species;Breed;Method;Notes;Sample.size;Individuum_ID;Sex;Life_stage;Age;Age_dimension;Freq;Dimension;Threshold_dB_mean;Threshold_dB_lower;Threshold_dB_upper;CI_type;Range_low;Range_high;Data_type;Threshold_dB_mean_extracted;Method_grouped;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;1000;Hz;46,2;7,2;7,2;se;25;65;measured;4138;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;2000;Hz;37,5;6,4;6,4;se;25;55;measured;3333;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;4000;Hz;40;2,7;2,7;se;35;45;measured;3859;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;8000;Hz;25;2,7;2,7;se;15;35;measured;2516;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;16000;Hz;28,8;3,2;3,2;se;15;35;measured;2785;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;24000;Hz;35;3,8;3,8;se;15;45;measured;3478;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;32000;Hz;28,8;4,6;4,6;se;15;45;measured;2785;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;46000;Hz;38,8;4,2;4,2;se;25;55;measured;3736;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;366 ñ 23.8;days;2000;Hz;33,58;3,1;3,8;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;367 ñ 23.8;days;4000;Hz;28,39;2,4;3,1;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;368 ñ 23.8;days;8000;Hz;38,08;2;3,4;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;369 ñ 23.8;days;10000;Hz;39,21;2,4;3,6;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;370 ñ 23.8;days;12000;Hz;20,96;1,46;2,44;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;371 ñ 23.8;days;16000;Hz;30,65;1,55;2,65;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;372 ñ 23.8;days;20000;Hz;27,72;1,92;3,6;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;100;Hz;80;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;300;Hz;80;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;400;Hz;70;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;500;Hz;70;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;700;Hz;50;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;900;Hz;35;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1000;Hz;25;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1100;Hz;10;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1200;Hz;9,9;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1400;Hz;5,4;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1500;Hz;15;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1700;Hz;25;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;1900;Hz;40;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;2100;Hz;45;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;2500;Hz;65;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;2700;Hz;55;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;3000;Hz;65;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;3100;Hz;60;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;3500;Hz;45;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;4000;Hz;50;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;4500;Hz;35;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;5000;Hz;55;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;male;adult;NA;NA;5500;Hz;45;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;500;Hz;70;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;700;Hz;50;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;1000;Hz;30,1;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;1500;Hz;15;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;2000;Hz;40;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;2500;Hz;50;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;3000;Hz;65;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;2500;Hz;60;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;4000;Hz;80;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;4500;Hz;60;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;5000;Hz;75;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P004;P004_A01;lithobates catesbeianus;NA;ELPHYS (electrophysiological, no further information));NA;1;NA;female;adult;NA;NA;5500;Hz;60;NA;NA;NA;NA;NA;extracted;NA;PHYSIOLOGICAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;13,2;kHz;-54;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;15;kHz;-46;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;20;kHz;-57;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;25;kHz;-60;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;35;kHz;-65;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;40;kHz;-55;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;50;kHz;-52;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;55;kHz;-57;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;60;kHz;-59;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;70;kHz;-48;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;80;kHz;-50;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;90;kHz;-52;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;100;kHz;-45;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P006;P006_A02;myotis lucifugus;NA;BEHAV (behavioural, no further information));NA;1;NA;NA;NA;2;years;120;kHz;-2,34;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;0,03;kHz;77;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;0,06;kHz;55;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;0,13;kHz;45;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;0,25;kHz;25;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;0,5;kHz;15;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;1;kHz;8;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;2;kHz;7;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;4;kHz;15;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;8;kHz;12;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;16;kHz;10;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;32;kHz;50;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P023;P023_A01;equus caballus;NA;BEHAV (behavioural, no further information));NA;3;NA;NA;NA;NA;NA;40;kHz;90;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P041;P041_A01;columba livia domestica;NA;BEHAV (behavioural, no further information));NA;5;NA;NA;NA;1 to 7;years;0,05;kHz;127;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P041;P041_A01;columba livia domestica;NA;BEHAV (behavioural, no further information));NA;5;NA;NA;NA;1 to 7;years;0,1;kHz;121;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P041;P041_A01;columba livia domestica;NA;BEHAV (behavioural, no further information));NA;5;NA;NA;NA;1 to 7;years;0,25;kHz;121;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P041;P041_A01;columba livia domestica;NA;BEHAV (behavioural, no further information));NA;5;NA;NA;NA;1 to 7;years;0,5;kHz;109;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P041;P041_A01;columba livia domestica;NA;BEHAV (behavioural, no further information));NA;5;NA;NA;NA;1 to 7;years;1;kHz;97;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
P041;P041_A01;columba livia domestica;NA;BEHAV (behavioural, no further information));NA;5;NA;NA;NA;1 to 7;years;2;kHz;81;NA;NA;NA;NA;NA;extracted;NA;BEHAVIORAL;
